id,name,type,category,power,accuracy,pp,priority,min_hits,max_hits,ailment,ailment_chance,crit_rate,drain,healing,flinch_chance,stat_chance,target,stat_changes
302,Needle Arm,Grass,Physical,60,100,15,0,1,1,,0,0,0,0,30,0,foe,
303,Slack Off,Normal,Status,0,0,5,0,1,1,,0,0,0,50,0,0,self,
304,Hyper Voice,Normal,Special,90,100,10,0,1,1,,0,0,0,0,0,0,foe,
305,Poison Fang,Poison,Physical,50,100,15,0,1,1,POISON,50,0,0,0,0,0,foe,
306,Crush Claw,Normal,Physical,75,95,10,0,1,1,,0,0,0,0,0,50,foe,def:-1
309,Meteor Mash,Steel,Physical,90,90,10,0,1,1,,0,0,0,0,0,20,foe,atk:1
310,Astonish,Ghost,Physical,30,100,15,0,1,1,,0,0,0,0,30,0,foe,
311,Weather Ball,Normal,Special,50,100,10,0,1,1,,0,0,0,0,0,0,foe,
312,Aromatherapy,Grass,Status,0,0,5,0,1,1,,0,0,0,0,0,0,self,
313,Fake Tears,Dark,Status,0,100,20,0,1,1,,0,0,0,0,0,0,foe,spd:-2
314,Air Cutter,Flying,Special,60,95,25,0,1,1,,0,1,0,0,0,0,foe,
315,Overheat,Fire,Special,130,90,5,0,1,1,,0,0,0,0,0,100,foe,spa:-2
316,Odor Sleuth,Normal,Status,0,0,40,0,1,1,,0,0,0,0,0,0,foe,
317,Rock Tomb,Rock,Physical,60,95,15,0,1,1,,0,0,0,0,0,100,foe,spe:-1
318,Silver Wind,Bug,Special,60,100,5,0,1,1,,0,0,0,0,0,10,foe,atk:1|def:1|spa:1|spd:1|spe:1
319,Metal Sound,Steel,Status,0,85,40,0,1,1,,0,0,0,0,0,0,foe,spd:-2
320,Grass Whistle,Grass,Status,0,55,15,0,1,1,SLEEP,0,0,0,0,0,0,foe,
321,Tickle,Normal,Status,0,100,20,0,1,1,,0,0,0,0,0,0,foe,atk:-1|def:-1
322,Cosmic Power,Psychic,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,def:1|spd:1
323,Water Spout,Water,Special,150,100,5,0,1,1,,0,0,0,0,0,0,foe,
324,Signal Beam,Bug,Special,75,100,15,0,1,1,CONFUSE,10,0,0,0,0,0,foe,
325,Shadow Punch,Ghost,Physical,60,0,20,0,1,1,,0,0,0,0,0,0,foe,
326,Extrasensory,Psychic,Special,80,100,20,0,1,1,,0,0,0,0,10,0,foe,
327,Sky Uppercut,Fighting,Physical,85,90,15,0,1,1,,0,0,0,0,0,0,foe,
328,Sand Tomb,Ground,Physical,35,85,15,0,1,1,,100,0,0,0,0,0,foe,
329,Sheer Cold,Ice,Special,0,30,5,0,1,1,,0,0,0,0,0,0,foe,
330,Muddy Water,Water,Special,90,85,10,0,1,1,,0,0,0,0,0,30,foe,acc:-1
331,Bullet Seed,Grass,Physical,25,100,30,0,2,5,,0,0,0,0,0,0,foe,
332,Aerial Ace,Flying,Physical,60,0,20,0,1,1,,0,0,0,0,0,0,foe,
333,Icicle Spear,Ice,Physical,25,100,30,0,2,5,,0,0,0,0,0,0,foe,
334,Iron Defense,Steel,Status,0,0,15,0,1,1,,0,0,0,0,0,0,self,def:2
335,Block,Normal,Status,0,0,5,0,1,1,,0,0,0,0,0,0,foe,
336,Howl,Normal,Status,0,0,40,0,1,1,,0,0,0,0,0,0,self,atk:1
337,Dragon Claw,Dragon,Physical,80,100,15,0,1,1,,0,0,0,0,0,0,foe,
339,Bulk Up,Fighting,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,atk:1|def:1
340,Bounce,Flying,Physical,85,85,5,0,1,1,PARALYZE,30,0,0,0,0,0,foe,
341,Mud Shot,Ground,Special,55,95,15,0,1,1,,0,0,0,0,0,100,foe,spe:-1
342,Poison Tail,Poison,Physical,50,100,25,0,1,1,POISON,10,1,0,0,0,0,foe,
343,Covet,Normal,Physical,60,100,25,0,1,1,,0,0,0,0,0,0,foe,
345,Magical Leaf,Grass,Special,60,0,20,0,1,1,,0,0,0,0,0,0,foe,
346,Water Sport,Water,Status,0,0,15,0,1,1,,0,0,0,0,0,0,foe,
347,Calm Mind,Psychic,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,spa:1|spd:1
348,Leaf Blade,Grass,Physical,90,100,15,0,1,1,,0,1,0,0,0,0,foe,
349,Dragon Dance,Dragon,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,atk:1|spe:1
350,Rock Blast,Rock,Physical,25,90,10,0,2,5,,0,0,0,0,0,0,foe,
351,Shock Wave,Electric,Special,60,0,20,0,1,1,,0,0,0,0,0,0,foe,
352,Water Pulse,Water,Special,60,100,20,0,1,1,CONFUSE,20,0,0,0,0,0,foe,
353,Doom Desire,Steel,Special,140,100,5,0,1,1,,0,0,0,0,0,0,foe,
355,Roost,Flying,Status,0,0,5,0,1,1,,0,0,0,50,0,0,self,
356,Gravity,Psychic,Status,0,0,5,0,1,1,,0,0,0,0,0,0,foe,
357,Miracle Eye,Psychic,Status,0,0,40,0,1,1,,0,0,0,0,0,0,foe,
358,Wake Up Slap,Fighting,Physical,70,100,10,0,1,1,,0,0,0,0,0,0,foe,
359,Hammer Arm,Fighting,Physical,100,90,10,0,1,1,,0,0,0,0,0,100,foe,spe:-1
360,Gyro Ball,Steel,Physical,0,100,5,0,1,1,,0,0,0,0,0,0,foe,
361,Healing Wish,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
362,Brine,Water,Special,65,100,10,0,1,1,,0,0,0,0,0,0,foe,
363,Natural Gift,Normal,Physical,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
364,Feint,Normal,Physical,30,100,10,2,1,1,,0,0,0,0,0,0,foe,
365,Pluck,Flying,Physical,60,100,20,0,1,1,,0,0,0,0,0,0,foe,
366,Tailwind,Flying,Status,0,0,15,0,1,1,,0,0,0,0,0,0,self,
367,Acupressure,Normal,Status,0,0,30,0,1,1,,0,0,0,0,0,0,self,
368,Metal Burst,Steel,Physical,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
369,U Turn,Bug,Physical,70,100,20,0,1,1,,0,0,0,0,0,0,foe,
370,Close Combat,Fighting,Physical,120,100,5,0,1,1,,0,0,0,0,0,100,foe,def:-1|spd:-1
371,Payback,Dark,Physical,50,100,10,0,1,1,,0,0,0,0,0,0,foe,
372,Assurance,Dark,Physical,60,100,10,0,1,1,,0,0,0,0,0,0,foe,
373,Embargo,Dark,Status,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
374,Fling,Dark,Physical,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
375,Psycho Shift,Psychic,Status,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
376,Trump Card,Normal,Special,0,0,5,0,1,1,,0,0,0,0,0,0,foe,
377,Heal Block,Psychic,Status,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
378,Wring Out,Normal,Special,0,100,5,0,1,1,,0,0,0,0,0,0,foe,
379,Power Trick,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
380,Gastro Acid,Poison,Status,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
381,Lucky Chant,Normal,Status,0,0,30,0,1,1,,0,0,0,0,0,0,self,
382,Me First,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,0,foe,
383,Copycat,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,
384,Power Swap,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
385,Guard Swap,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
386,Punishment,Dark,Physical,0,100,5,0,1,1,,0,0,0,0,0,0,foe,
387,Last Resort,Normal,Physical,140,100,5,0,1,1,,0,0,0,0,0,0,foe,
388,Worry Seed,Grass,Status,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
389,Sucker Punch,Dark,Physical,70,100,5,1,1,1,,0,0,0,0,0,0,foe,
390,Toxic Spikes,Poison,Status,0,0,20,0,1,1,,0,0,0,0,0,0,foe,
391,Heart Swap,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
392,Aqua Ring,Water,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,
393,Magnet Rise,Electric,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
394,Flare Blitz,Fire,Physical,120,100,15,0,1,1,BURN,10,0,-33,0,0,0,foe,
395,Force Palm,Fighting,Physical,60,100,10,0,1,1,PARALYZE,30,0,0,0,0,0,foe,
396,Aura Sphere,Fighting,Special,80,0,20,0,1,1,,0,0,0,0,0,0,foe,
397,Rock Polish,Rock,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,spe:2
398,Poison Jab,Poison,Physical,80,100,20,0,1,1,POISON,30,0,0,0,0,0,foe,
399,Dark Pulse,Dark,Special,80,100,15,0,1,1,,0,0,0,0,20,0,foe,
400,Night Slash,Dark,Physical,70,100,15,0,1,1,,0,1,0,0,0,0,foe,
401,Aqua Tail,Water,Physical,90,90,10,0,1,1,,0,0,0,0,0,0,foe,
402,Seed Bomb,Grass,Physical,80,100,15,0,1,1,,0,0,0,0,0,0,foe,
403,Air Slash,Flying,Special,75,95,15,0,1,1,,0,0,0,0,30,0,foe,
404,X Scissor,Bug,Physical,80,100,15,0,1,1,,0,0,0,0,0,0,foe,
405,Bug Buzz,Bug,Special,90,100,10,0,1,1,,0,0,0,0,0,10,foe,spd:-1
406,Dragon Pulse,Dragon,Special,85,100,10,0,1,1,,0,0,0,0,0,0,foe,
407,Dragon Rush,Dragon,Physical,100,75,10,0,1,1,,0,0,0,0,20,0,foe,
408,Power Gem,Rock,Special,80,100,20,0,1,1,,0,0,0,0,0,0,foe,
409,Drain Punch,Fighting,Physical,75,100,10,0,1,1,,0,0,50,0,0,0,foe,
410,Vacuum Wave,Fighting,Special,40,100,30,1,1,1,,0,0,0,0,0,0,foe,
411,Focus Blast,Fighting,Special,120,70,5,0,1,1,,0,0,0,0,0,10,foe,spd:-1
412,Energy Ball,Grass,Special,90,100,10,0,1,1,,0,0,0,0,0,10,foe,spd:-1
413,Brave Bird,Flying,Physical,120,100,15,0,1,1,,0,0,-33,0,0,0,foe,
414,Earth Power,Ground,Special,90,100,10,0,1,1,,0,0,0,0,0,10,foe,spd:-1
415,Switcheroo,Dark,Status,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
416,Giga Impact,Normal,Physical,150,90,5,0,1,1,,0,0,0,0,0,0,foe,
417,Nasty Plot,Dark,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,spa:2
418,Bullet Punch,Steel,Physical,40,100,30,1,1,1,,0,0,0,0,0,0,foe,
419,Avalanche,Ice,Physical,60,100,10,-4,1,1,,0,0,0,0,0,0,foe,
420,Ice Shard,Ice,Physical,40,100,30,1,1,1,,0,0,0,0,0,0,foe,
421,Shadow Claw,Ghost,Physical,70,100,15,0,1,1,,0,1,0,0,0,0,foe,
422,Thunder Fang,Electric,Physical,65,95,15,0,1,1,PARALYZE,10,0,0,0,10,0,foe,
423,Ice Fang,Ice,Physical,65,95,15,0,1,1,FREEZE,10,0,0,0,10,0,foe,
424,Fire Fang,Fire,Physical,65,95,15,0,1,1,BURN,10,0,0,0,10,0,foe,
425,Shadow Sneak,Ghost,Physical,40,100,30,1,1,1,,0,0,0,0,0,0,foe,
426,Mud Bomb,Ground,Special,65,85,10,0,1,1,,0,0,0,0,0,30,foe,acc:-1
427,Psycho Cut,Psychic,Physical,70,100,20,0,1,1,,0,1,0,0,0,0,foe,
428,Zen Headbutt,Psychic,Physical,80,90,15,0,1,1,,0,0,0,0,20,0,foe,
429,Mirror Shot,Steel,Special,65,85,10,0,1,1,,0,0,0,0,0,30,foe,acc:-1
430,Flash Cannon,Steel,Special,80,100,10,0,1,1,,0,0,0,0,0,10,foe,spd:-1
431,Rock Climb,Normal,Physical,90,85,20,0,1,1,CONFUSE,20,0,0,0,0,0,foe,
432,Defog,Flying,Status,0,0,15,0,1,1,,0,0,0,0,0,0,foe,eva:-1
433,Trick Room,Psychic,Status,0,0,5,-7,1,1,,0,0,0,0,0,0,foe,
435,Discharge,Electric,Special,80,100,15,0,1,1,PARALYZE,30,0,0,0,0,0,foe,
436,Lava Plume,Fire,Special,80,100,15,0,1,1,BURN,30,0,0,0,0,0,foe,
437,Leaf Storm,Grass,Special,130,90,5,0,1,1,,0,0,0,0,0,100,foe,spa:-2
438,Power Whip,Grass,Physical,120,85,10,0,1,1,,0,0,0,0,0,0,foe,
439,Rock Wrecker,Rock,Physical,150,90,5,0,1,1,,0,0,0,0,0,0,foe,
440,Cross Poison,Poison,Physical,70,100,20,0,1,1,POISON,10,1,0,0,0,0,foe,
441,Gunk Shot,Poison,Physical,120,80,5,0,1,1,POISON,30,0,0,0,0,0,foe,
442,Iron Head,Steel,Physical,80,100,15,0,1,1,,0,0,0,0,30,0,foe,
443,Magnet Bomb,Steel,Physical,60,0,20,0,1,1,,0,0,0,0,0,0,foe,
444,Stone Edge,Rock,Physical,100,80,5,0,1,1,,0,1,0,0,0,0,foe,
445,Captivate,Normal,Status,0,100,20,0,1,1,,0,0,0,0,0,0,foe,spa:-2
446,Stealth Rock,Rock,Status,0,0,20,0,1,1,,0,0,0,0,0,0,foe,
447,Grass Knot,Grass,Special,0,100,20,0,1,1,,0,0,0,0,0,0,foe,
448,Chatter,Flying,Special,65,100,20,0,1,1,CONFUSE,100,0,0,0,0,0,foe,
449,Judgment,Normal,Special,100,100,10,0,1,1,,0,0,0,0,0,0,foe,
450,Bug Bite,Bug,Physical,60,100,20,0,1,1,,0,0,0,0,0,0,foe,
451,Charge Beam,Electric,Special,50,90,10,0,1,1,,0,0,0,0,0,70,foe,spa:1
452,Wood Hammer,Grass,Physical,120,100,15,0,1,1,,0,0,-33,0,0,0,foe,
453,Aqua Jet,Water,Physical,40,100,20,1,1,1,,0,0,0,0,0,0,foe,
454,Attack Order,Bug,Physical,90,100,15,0,1,1,,0,1,0,0,0,0,foe,
455,Defend Order,Bug,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,def:1|spd:1
456,Heal Order,Bug,Status,0,0,10,0,1,1,,0,0,0,50,0,0,self,
457,Head Smash,Rock,Physical,150,80,5,0,1,1,,0,0,-50,0,0,0,foe,
458,Double Hit,Normal,Physical,35,90,10,0,2,2,,0,0,0,0,0,0,foe,
459,Roar Of Time,Dragon,Special,150,90,5,0,1,1,,0,0,0,0,0,0,foe,
460,Spacial Rend,Dragon,Special,100,95,5,0,1,1,,0,1,0,0,0,0,foe,
461,Lunar Dance,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
462,Crush Grip,Normal,Physical,0,100,5,0,1,1,,0,0,0,0,0,0,foe,
463,Magma Storm,Fire,Special,100,75,5,0,1,1,,100,0,0,0,0,0,foe,
464,Dark Void,Dark,Status,0,50,10,0,1,1,SLEEP,0,0,0,0,0,0,foe,
466,Ominous Wind,Ghost,Special,60,100,5,0,1,1,,10,0,0,0,0,10,foe,atk:1|def:1|spa:1|spd:1|spe:1
468,Hone Claws,Dark,Status,0,0,15,0,1,1,,0,0,0,0,0,0,self,atk:1|acc:1
469,Wide Guard,Rock,Status,0,0,10,3,1,1,,0,0,0,0,0,0,self,
470,Guard Split,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
471,Power Split,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
472,Wonder Room,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
473,Psyshock,Psychic,Special,80,100,10,0,1,1,,0,0,0,0,0,0,foe,
474,Venoshock,Poison,Special,65,100,10,0,1,1,,0,0,0,0,0,0,foe,
475,Autotomize,Steel,Status,0,0,15,0,1,1,,0,0,0,0,0,0,self,spe:2
476,Rage Powder,Bug,Status,0,0,20,2,1,1,,0,0,0,0,0,0,self,
477,Telekinesis,Psychic,Status,0,0,15,0,1,1,,0,0,0,0,0,0,foe,
478,Magic Room,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
479,Smack Down,Rock,Physical,50,100,15,0,1,1,,100,0,0,0,0,0,foe,
480,Storm Throw,Fighting,Physical,60,100,10,0,1,1,,0,6,0,0,0,0,foe,
481,Flame Burst,Fire,Special,70,100,15,0,1,1,,0,0,0,0,0,0,foe,
482,Sludge Wave,Poison,Special,95,100,10,0,1,1,POISON,10,0,0,0,0,0,foe,
483,Quiver Dance,Bug,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,spa:1|spd:1|spe:1
484,Heavy Slam,Steel,Physical,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
485,Synchronoise,Psychic,Special,120,100,10,0,1,1,,0,0,0,0,0,0,foe,
486,Electro Ball,Electric,Special,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
487,Soak,Water,Status,0,100,20,0,1,1,,0,0,0,0,0,0,foe,
488,Flame Charge,Fire,Physical,50,100,20,0,1,1,,0,0,0,0,0,100,foe,spe:1
489,Coil,Poison,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,atk:1|def:1|acc:1
490,Low Sweep,Fighting,Physical,65,100,20,0,1,1,,0,0,0,0,0,100,foe,spe:-1
491,Acid Spray,Poison,Special,40,100,20,0,1,1,,0,0,0,0,0,100,foe,spd:-2
492,Foul Play,Dark,Physical,95,100,15,0,1,1,,0,0,0,0,0,0,foe,
493,Simple Beam,Normal,Status,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
494,Entrainment,Normal,Status,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
495,After You,Normal,Status,0,0,15,0,1,1,,0,0,0,0,0,0,foe,
496,Round,Normal,Special,60,100,15,0,1,1,,0,0,0,0,0,0,foe,
497,Echoed Voice,Normal,Special,40,100,15,0,1,1,,0,0,0,0,0,0,foe,
498,Chip Away,Normal,Physical,70,100,20,0,1,1,,0,0,0,0,0,0,foe,
499,Clear Smog,Poison,Special,50,0,15,0,1,1,,0,0,0,0,0,0,foe,
500,Stored Power,Psychic,Special,20,100,10,0,1,1,,0,0,0,0,0,0,foe,
501,Quick Guard,Fighting,Status,0,0,15,3,1,1,,0,0,0,0,0,0,self,
502,Ally Switch,Psychic,Status,0,0,15,2,1,1,,0,0,0,0,0,0,self,
503,Scald,Water,Special,80,100,15,0,1,1,BURN,30,0,0,0,0,0,foe,
504,Shell Smash,Normal,Status,0,0,15,0,1,1,,0,0,0,0,0,0,self,def:-1|spd:-1|atk:2|spa:2|spe:2
505,Heal Pulse,Psychic,Status,0,0,10,0,1,1,,0,0,0,50,0,0,foe,
506,Hex,Ghost,Special,65,100,10,0,1,1,,0,0,0,0,0,0,foe,
507,Sky Drop,Flying,Physical,60,100,10,0,1,1,,0,0,0,0,0,0,foe,
508,Shift Gear,Steel,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,atk:1|spe:2
509,Circle Throw,Fighting,Physical,60,90,10,-6,1,1,,0,0,0,0,0,0,foe,
510,Incinerate,Fire,Special,60,100,15,0,1,1,,0,0,0,0,0,0,foe,
511,Quash,Dark,Status,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
512,Acrobatics,Flying,Physical,55,100,15,0,1,1,,0,0,0,0,0,0,foe,
513,Reflect Type,Normal,Status,0,0,15,0,1,1,,0,0,0,0,0,0,foe,
514,Retaliate,Normal,Physical,70,100,5,0,1,1,,0,0,0,0,0,0,foe,
515,Final Gambit,Fighting,Special,0,100,5,0,1,1,,0,0,0,0,0,0,foe,
516,Bestow,Normal,Status,0,0,15,0,1,1,,0,0,0,0,0,0,foe,
517,Inferno,Fire,Special,100,50,5,0,1,1,BURN,100,0,0,0,0,0,foe,
521,Volt Switch,Electric,Special,70,100,20,0,1,1,,0,0,0,0,0,0,foe,
522,Struggle Bug,Bug,Special,50,100,20,0,1,1,,0,0,0,0,0,100,foe,spa:-1
523,Bulldoze,Ground,Physical,60,100,20,0,1,1,,0,0,0,0,0,100,foe,spe:-1
524,Frost Breath,Ice,Special,60,90,10,0,1,1,,100,6,0,0,0,0,foe,
525,Dragon Tail,Dragon,Physical,60,90,10,-6,1,1,,0,0,0,0,0,0,foe,
526,Work Up,Normal,Status,0,0,30,0,1,1,,0,0,0,0,0,0,self,atk:1|spa:1
527,Electroweb,Electric,Special,55,95,15,0,1,1,,0,0,0,0,0,100,foe,spe:-1
528,Wild Charge,Electric,Physical,90,100,15,0,1,1,,0,0,-25,0,0,0,foe,
529,Drill Run,Ground,Physical,80,95,10,0,1,1,,0,1,0,0,0,0,foe,
530,Dual Chop,Dragon,Physical,40,90,15,0,2,2,,0,0,0,0,0,0,foe,
531,Heart Stamp,Psychic,Physical,60,100,25,0,1,1,,0,0,0,0,30,0,foe,
532,Horn Leech,Grass,Physical,75,100,10,0,1,1,,0,0,50,0,0,0,foe,
533,Sacred Sword,Fighting,Physical,90,100,15,0,1,1,,0,0,0,0,0,0,foe,
534,Razor Shell,Water,Physical,75,95,10,0,1,1,,0,0,0,0,0,50,foe,def:-1
535,Heat Crash,Fire,Physical,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
536,Leaf Tornado,Grass,Special,65,90,10,0,1,1,,0,0,0,0,0,50,foe,acc:-1
537,Steamroller,Bug,Physical,65,100,20,0,1,1,,0,0,0,0,30,0,foe,
538,Cotton Guard,Grass,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,def:3
539,Night Daze,Dark,Special,85,95,10,0,1,1,,0,0,0,0,0,40,foe,acc:-1
540,Psystrike,Psychic,Special,100,100,10,0,1,1,,0,0,0,0,0,0,foe,
541,Tail Slap,Normal,Physical,25,85,10,0,2,5,,0,0,0,0,0,0,foe,
542,Hurricane,Flying,Special,110,70,10,0,1,1,CONFUSE,30,0,0,0,0,0,foe,
543,Head Charge,Normal,Physical,120,100,15,0,1,1,,0,0,-25,0,0,0,foe,
544,Gear Grind,Steel,Physical,50,85,15,0,2,2,,0,0,0,0,0,0,foe,
545,Searing Shot,Fire,Special,100,100,5,0,1,1,BURN,30,0,0,0,0,0,foe,
550,Bolt Strike,Electric,Physical,130,85,5,0,1,1,PARALYZE,20,0,0,0,0,0,foe,
551,Blue Flare,Fire,Special,130,85,5,0,1,1,BURN,20,0,0,0,0,0,foe,
552,Fiery Dance,Fire,Special,80,100,10,0,1,1,,0,0,0,0,0,50,foe,spa:1
555,Snarl,Dark,Special,55,95,15,0,1,1,,0,0,0,0,0,100,foe,spa:-1
556,Icicle Crash,Ice,Physical,85,90,10,0,1,1,,0,0,0,0,30,0,foe,
557,V Create,Fire,Physical,180,95,5,0,1,1,,0,0,0,0,0,100,foe,def:-1|spd:-1|spe:-1
558,Fusion Flare,Fire,Special,100,100,5,0,1,1,,0,0,0,0,0,0,foe,
559,Fusion Bolt,Electric,Physical,100,100,5,0,1,1,,0,0,0,0,0,0,foe,
560,Flying Press,Fighting,Physical,100,95,10,0,1,1,,0,0,0,0,0,0,foe,
561,Mat Block,Fighting,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
562,Belch,Poison,Special,120,90,10,0,1,1,,0,0,0,0,0,0,foe,
563,Rototiller,Ground,Status,0,0,10,0,1,1,,0,0,0,0,0,100,foe,atk:1|spa:1
564,Sticky Web,Bug,Status,0,0,20,0,1,1,,0,0,0,0,0,0,foe,
565,Fell Stinger,Bug,Physical,50,100,25,0,1,1,,0,0,0,0,0,0,foe,
566,Phantom Force,Ghost,Physical,90,100,10,0,1,1,,0,0,0,0,0,0,foe,
568,Noble Roar,Normal,Status,0,100,30,0,1,1,,0,0,0,0,0,100,foe,atk:-1|spa:-1
569,Ion Deluge,Electric,Status,0,0,25,1,1,1,,0,0,0,0,0,0,foe,
570,Parabolic Charge,Electric,Special,65,100,20,0,1,1,,0,0,50,0,0,0,foe,
572,Petal Blizzard,Grass,Physical,90,100,15,0,1,1,,0,0,0,0,0,0,foe,
573,Freeze Dry,Ice,Special,70,100,20,0,1,1,FREEZE,10,0,0,0,0,0,foe,
574,Disarming Voice,Fairy,Special,40,0,15,0,1,1,,0,0,0,0,0,0,foe,
575,Parting Shot,Dark,Status,0,100,20,0,1,1,,0,0,0,0,0,100,foe,atk:-1|spa:-1
576,Topsy Turvy,Dark,Status,0,0,20,0,1,1,,0,0,0,0,0,0,foe,
577,Draining Kiss,Fairy,Special,50,100,10,0,1,1,,0,0,75,0,0,0,foe,
578,Crafty Shield,Fairy,Status,0,0,10,3,1,1,,0,0,0,0,0,0,self,
579,Flower Shield,Fairy,Status,0,0,10,0,1,1,,0,0,0,0,0,100,foe,def:1
580,Grassy Terrain,Grass,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
581,Misty Terrain,Fairy,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
582,Electrify,Electric,Status,0,0,20,0,1,1,,0,0,0,0,0,0,foe,
583,Play Rough,Fairy,Physical,90,90,10,0,1,1,,0,0,0,0,0,10,foe,atk:-1
584,Fairy Wind,Fairy,Special,40,100,30,0,1,1,,0,0,0,0,0,0,foe,
585,Moonblast,Fairy,Special,95,100,15,0,1,1,,0,0,0,0,0,30,foe,spa:-1
586,Boomburst,Normal,Special,140,100,10,0,1,1,,0,0,0,0,0,0,foe,
587,Fairy Lock,Fairy,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
589,Play Nice,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,100,foe,atk:-1
590,Confide,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,100,foe,spa:-1
594,Water Shuriken,Water,Special,15,100,20,1,2,5,,0,0,0,0,0,0,foe,
595,Mystical Fire,Fire,Special,75,100,10,0,1,1,,0,0,0,0,0,100,foe,spa:-1
596,Spiky Shield,Grass,Status,0,0,10,4,1,1,,0,0,0,0,0,0,self,
597,Aromatic Mist,Fairy,Status,0,0,20,0,1,1,,0,0,0,0,0,0,foe,spd:1
598,Eerie Impulse,Electric,Status,0,100,15,0,1,1,,0,0,0,0,0,0,foe,spa:-2
599,Venom Drench,Poison,Status,0,100,20,0,1,1,,0,0,0,0,0,100,foe,atk:-1|spa:-1|spe:-1
601,Geomancy,Fairy,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,spa:2|spd:2|spe:2
602,Magnetic Flux,Electric,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,def:1|spd:1
604,Electric Terrain,Electric,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
605,Dazzling Gleam,Fairy,Special,80,100,10,0,1,1,,0,0,0,0,0,0,foe,
608,Baby Doll Eyes,Fairy,Status,0,100,30,1,1,1,,0,0,0,0,0,0,foe,atk:-1
609,Nuzzle,Electric,Physical,20,100,20,0,1,1,PARALYZE,100,0,0,0,0,0,foe,
611,Infestation,Bug,Special,20,100,20,0,1,1,,100,0,0,0,0,0,foe,
612,Power Up Punch,Fighting,Physical,40,100,20,0,1,1,,0,0,0,0,0,100,foe,atk:1
613,Oblivion Wing,Flying,Special,80,100,10,0,1,1,,0,0,75,0,0,0,foe,
614,Thousand Arrows,Ground,Physical,90,100,10,0,1,1,,100,0,0,0,0,0,foe,
615,Thousand Waves,Ground,Physical,90,100,10,0,1,1,,0,0,0,0,0,0,foe,
616,Lands Wrath,Ground,Physical,90,100,10,0,1,1,,0,0,0,0,0,0,foe,
618,Origin Pulse,Water,Special,110,85,10,0,1,1,,0,0,0,0,0,0,foe,
619,Precipice Blades,Ground,Physical,120,85,10,0,1,1,,0,0,0,0,0,0,foe,
620,Dragon Ascent,Flying,Physical,120,100,5,0,1,1,,0,0,0,0,0,100,foe,def:-1|spd:-1
667,High Horsepower,Ground,Physical,95,95,10,0,1,1,,0,0,0,0,0,0,foe,
668,Strength Sap,Grass,Status,0,100,10,0,1,1,,0,0,0,0,0,100,foe,atk:-1
