id,name,type1,type2,rarity,hp,attack,defense,sp_atk,sp_def,speed
508,Stoutland,Normal,,4,85,110,90,45,90,80
509,Purrloin,Dark,,1,41,50,37,50,37,66
510,Liepard,Dark,,2,64,88,50,88,50,106
511,Pansage,Grass,,1,50,53,48,53,48,64
512,Simisage,Grass,,3,75,98,63,98,63,101
513,Pansear,Fire,,1,50,53,48,53,48,64
514,Simisear,Fire,,3,75,98,63,98,63,101
515,Panpour,Water,,1,50,53,48,53,48,64
516,Simipour,Water,,3,75,98,63,98,63,101
517,Munna,Psychic,,1,76,25,45,67,55,24
518,Musharna,Psychic,,3,116,55,85,107,95,29
519,Pidove,Normal,Flying,1,50,55,50,36,30,43
520,Tranquill,Normal,Flying,1,62,77,62,50,42,65
521,Unfezant,Normal,Flying,3,80,115,80,65,55,93
522,Blitzle,Electric,,1,45,60,32,50,32,76
523,Zebstrika,Electric,,3,75,100,63,80,63,116
524,Roggenrola,Rock,,1,55,75,85,25,25,15
525,Boldore,Rock,,1,70,105,105,50,40,20
526,Gigalith,Rock,,4,85,135,130,60,80,25
527,Woobat,Psychic,Flying,1,65,45,43,55,43,72
528,Swoobat,Psychic,Flying,2,67,57,55,77,55,114
529,Drilbur,Ground,,1,60,85,40,30,45,68
530,Excadrill,Ground,Steel,4,110,135,60,50,65,88
531,Audino,Normal,,2,103,60,86,60,86,50
532,Timburr,Fighting,,1,75,80,55,25,35,35
533,Gurdurr,Fighting,,2,85,105,85,40,50,40
534,Conkeldurr,Fighting,,4,105,140,95,55,65,45
535,Tympole,Water,,1,50,50,40,50,40,64
536,Palpitoad,Water,Ground,1,75,65,55,65,55,69
537,Seismitoad,Water,Ground,4,105,95,75,85,75,74
538,Throh,Fighting,,3,120,100,85,30,85,45
539,Sawk,Fighting,,3,75,125,75,30,75,85
540,Sewaddle,Bug,Grass,1,45,53,70,40,60,42
541,Swadloon,Bug,Grass,1,55,63,90,50,80,42
542,Leavanny,Bug,Grass,4,75,103,80,70,80,92
543,Venipede,Bug,Poison,1,30,45,59,30,39,57
544,Whirlipede,Bug,Poison,1,40,55,99,40,79,47
545,Scolipede,Bug,Poison,3,60,100,89,55,69,112
546,Cottonee,Grass,Fairy,1,40,27,60,37,50,66
547,Whimsicott,Grass,Fairy,3,60,67,85,77,75,116
548,Petilil,Grass,,1,45,35,50,70,50,30
549,Lilligant,Grass,,3,70,60,75,110,75,90
551,Sandile,Ground,Dark,1,50,72,35,35,35,65
552,Krokorok,Ground,Dark,1,60,82,45,45,45,74
553,Krookodile,Ground,Dark,4,95,117,80,65,70,92
554,Darumaka,Fire,,1,70,90,45,15,45,50
556,Maractus,Grass,,3,75,86,67,106,67,60
557,Dwebble,Bug,Rock,1,50,65,85,35,35,55
558,Crustle,Bug,Rock,3,70,105,125,65,75,45
559,Scraggy,Dark,Fighting,1,50,75,70,35,70,48
560,Scrafty,Dark,Fighting,3,65,90,115,45,115,58
561,Sigilyph,Psychic,Flying,3,72,58,80,103,80,97
562,Yamask,Ghost,,1,38,30,85,55,65,30
563,Cofagrigus,Ghost,,3,58,50,145,95,105,30
564,Tirtouga,Water,Rock,1,54,78,103,53,45,22
565,Carracosta,Water,Rock,3,74,108,133,83,65,32
566,Archen,Rock,Flying,2,55,112,45,74,45,70
567,Archeops,Rock,Flying,4,75,140,65,112,65,110
568,Trubbish,Poison,,1,50,50,62,40,62,65
569,Garbodor,Poison,,3,80,95,82,60,82,75
570,Zorua,Dark,,1,40,65,40,80,40,65
571,Zoroark,Dark,,4,60,105,60,120,60,105
572,Minccino,Normal,,1,55,50,40,40,40,75
573,Cinccino,Normal,,3,75,95,60,65,60,115
574,Gothita,Psychic,,1,45,30,50,55,65,45
575,Gothorita,Psychic,,1,60,45,70,75,85,55
576,Gothitelle,Psychic,,3,70,55,95,95,110,65
577,Solosis,Psychic,,1,45,30,40,105,50,20
578,Duosion,Psychic,,1,65,40,50,125,60,30
579,Reuniclus,Psychic,,3,110,65,75,125,85,30
580,Ducklett,Water,Flying,1,62,44,50,44,50,55
581,Swanna,Water,Flying,3,75,87,63,87,63,98
582,Vanillite,Ice,,1,36,50,50,65,60,44
583,Vanillish,Ice,,1,51,65,65,80,75,59
584,Vanilluxe,Ice,,4,71,95,85,110,95,79
587,Emolga,Electric,Flying,2,55,75,60,75,60,103
588,Karrablast,Bug,,1,50,75,45,40,45,60
589,Escavalier,Bug,Steel,3,70,135,105,60,105,20
590,Foongus,Grass,Poison,1,69,55,45,55,55,15
591,Amoonguss,Grass,Poison,3,114,85,70,85,80,30
592,Frillish,Water,Ghost,1,55,40,50,65,85,40
593,Jellicent,Water,Ghost,3,100,60,70,85,105,60
594,Alomomola,Water,,3,165,75,80,40,45,65
595,Joltik,Bug,Electric,1,50,47,50,57,50,65
596,Galvantula,Bug,Electric,3,70,77,60,97,60,108
597,Ferroseed,Grass,Steel,1,44,50,91,24,86,10
598,Ferrothorn,Grass,Steel,3,74,94,131,54,116,20
599,Klink,Steel,,1,40,55,70,45,60,30
600,Klang,Steel,,2,60,80,95,70,85,50
601,Klinklang,Steel,,4,60,100,115,70,85,90
602,Tynamo,Electric,,1,35,55,40,45,40,60
603,Eelektrik,Electric,,2,65,85,70,75,70,40
604,Eelektross,Electric,,4,85,115,80,105,80,50
605,Elgyem,Psychic,,1,55,55,55,85,55,30
606,Beheeyem,Psychic,,3,75,75,75,125,95,40
607,Litwick,Ghost,Fire,1,50,30,55,65,55,20
608,Lampent,Ghost,Fire,1,60,40,60,95,60,55
609,Chandelure,Ghost,Fire,4,60,55,90,145,90,80
610,Axew,Dragon,,1,46,87,60,30,40,57
611,Fraxure,Dragon,,2,66,117,70,40,50,67
612,Haxorus,Dragon,,4,76,147,90,60,70,97
613,Cubchoo,Ice,,1,55,70,40,60,40,40
614,Beartic,Ice,,4,95,130,80,70,80,50
615,Cryogonal,Ice,,4,80,50,50,95,135,105
616,Shelmet,Bug,,1,50,40,85,40,65,25
617,Accelgor,Bug,,3,80,70,40,100,60,145
618,Stunfisk,Ground,Electric,3,109,66,84,81,99,32
619,Mienfoo,Fighting,,1,45,85,50,55,50,65
620,Mienshao,Fighting,,4,65,125,60,95,60,105
621,Druddigon,Dragon,,3,77,120,90,60,90,48
622,Golett,Ground,Ghost,1,59,74,50,35,50,35
623,Golurk,Ground,Ghost,3,89,124,80,55,80,55
624,Pawniard,Dark,Steel,1,45,85,70,40,40,60
625,Bisharp,Dark,Steel,3,65,125,100,60,70,70
626,Bouffalant,Normal,,3,95,110,95,40,95,55
627,Rufflet,Normal,Flying,1,70,83,50,37,50,60
628,Braviary,Normal,Flying,4,100,123,75,57,75,80
629,Vullaby,Dark,Flying,1,70,55,75,45,65,60
630,Mandibuzz,Dark,Flying,4,110,65,105,55,95,80
631,Heatmor,Fire,,3,85,97,66,105,66,65
632,Durant,Bug,Steel,3,58,109,112,48,48,109
633,Deino,Dark,Dragon,1,52,65,50,45,50,38
634,Zweilous,Dark,Dragon,2,72,85,70,65,70,58
635,Hydreigon,Dark,Dragon,5,92,105,90,125,90,98
636,Larvesta,Bug,Fire,1,55,85,55,50,55,60
637,Volcarona,Bug,Fire,4,85,60,65,135,105,100
638,Cobalion,Steel,Fighting,4,91,90,129,90,72,108
639,Terrakion,Rock,Fighting,4,91,129,90,72,90,108
640,Virizion,Grass,Fighting,4,91,90,72,90,129,108
643,Reshiram,Dragon,Fire,5,100,120,100,150,120,90
644,Zekrom,Dragon,Electric,5,100,150,120,120,100,90
650,Chespin,Grass,,1,56,61,65,48,45,38
651,Quilladin,Grass,,2,61,78,95,56,58,57
652,Chesnaught,Grass,Fighting,4,88,107,122,74,75,64
653,Fennekin,Fire,,1,40,45,40,62,60,60
654,Braixen,Fire,,2,59,59,58,90,70,73
655,Delphox,Fire,Psychic,4,75,69,72,114,100,104
656,Froakie,Water,,1,41,56,40,62,44,71
657,Frogadier,Water,,2,54,63,52,83,56,97
658,Greninja,Water,Dark,4,72,95,67,103,71,122
659,Bunnelby,Normal,,1,38,36,38,32,36,57
660,Diggersby,Normal,Ground,2,85,56,77,50,77,78
661,Fletchling,Normal,Flying,1,45,50,43,40,38,62
662,Fletchinder,Fire,Flying,1,62,73,55,56,52,84
663,Talonflame,Fire,Flying,3,78,81,71,74,69,126
664,Scatterbug,Bug,,1,38,35,40,27,25,35
665,Spewpa,Bug,,1,45,22,60,27,30,29
667,Litleo,Fire,Normal,1,62,50,58,73,54,72
668,Pyroar,Fire,Normal,4,86,68,72,109,66,106
672,Skiddo,Grass,,1,66,65,48,62,57,52
673,Gogoat,Grass,,4,123,100,62,97,81,68
674,Pancham,Fighting,,1,67,82,62,46,48,43
675,Pangoro,Fighting,Dark,3,95,124,78,69,71,58
677,Espurr,Psychic,,1,62,48,54,63,60,68
679,Honedge,Steel,Ghost,1,45,80,100,35,37,28
680,Doublade,Steel,Ghost,2,59,110,150,45,49,35
682,Spritzee,Fairy,,1,78,52,60,63,65,23
683,Aromatisse,Fairy,,3,101,72,72,99,89,29
684,Swirlix,Fairy,,1,62,48,66,59,57,49
685,Slurpuff,Fairy,,3,82,80,86,85,75,72
686,Inkay,Dark,Psychic,1,53,54,53,37,46,45
687,Malamar,Dark,Psychic,3,86,92,88,68,75,73
688,Binacle,Rock,Water,1,42,52,67,39,56,50
689,Barbaracle,Rock,Water,4,72,105,115,54,86,68
690,Skrelp,Poison,Water,1,50,60,60,60,60,30
691,Dragalge,Poison,Dragon,3,65,75,90,97,123,44
692,Clauncher,Water,,1,50,53,62,58,63,44
693,Clawitzer,Water,,4,71,73,88,120,89,59
694,Helioptile,Electric,Normal,1,44,38,33,61,43,70
695,Heliolisk,Electric,Normal,3,62,55,52,109,94,109
696,Tyrunt,Rock,Dragon,1,58,89,77,45,45,48
698,Amaura,Rock,Ice,1,77,59,50,67,63,46
699,Aurorus,Rock,Ice,4,123,77,72,99,92,58
700,Sylveon,Fairy,,4,95,65,65,110,130,60
701,Hawlucha,Fighting,Flying,4,78,92,75,74,63,118
702,Dedenne,Electric,Fairy,2,67,58,57,81,67,101
704,Goomy,Dragon,,1,45,50,35,55,75,40
705,Sliggoo,Dragon,,3,68,75,53,83,113,60
706,Goodra,Dragon,,5,90,100,70,110,150,80
707,Klefki,Steel,Fairy,3,57,80,91,80,87,75
714,Noibat,Flying,Dragon,1,40,30,35,45,40,55
715,Noivern,Flying,Dragon,4,85,70,80,97,80,123
716,Xerneas,Fairy,,5,126,131,95,131,98,99
717,Yveltal,Dark,Flying,5,126,131,95,131,98,99
718,Zygarde50% Forme,Dragon,Ground,5,108,100,121,81,95,95
808,Meltan,Steel,,1,46,65,65,55,35,34
809,Melmetal,Steel,,5,135,143,143,80,65,34
